,spc_common,tree_dbh,stump_diam,status,health,problems,problems,root_stone,root_grate,root_other,nta,latitude,longitude
170688,red pine,4,0,Alive,Good,RootOther,RootOther,No,No,Yes,QN50,40.73610752,-73.89730775
171937,black pine,7,0,Alive,Good,None,None,No,No,No,QN17,40.71775779,-73.84134695
172053,white pine,10,0,Alive,Good,None,None,No,No,No,SI32,40.54733786,-74.19969395
172065,pine,13,0,Alive,Good,BranchLightsBranchOther,BranchLightsBranchOther,No,No,No,SI25,40.57151916,-74.12183587
174207,white pine,11,0,Alive,Good,None,None,No,No,No,BK44,40.60483168,-73.94367026
175053,white pine,45,0,Alive,Fair,None,None,No,No,No,SI24,40.57373616,-74.1369467
175478,black pine,22,0,Alive,Good,None,None,No,No,No,BK91,40.65007194,-73.93179598
175827,white pine,3,0,Alive,Good,None,None,No,No,No,SI22,40.63340908,-74.11783361
176360,pine,1,0,Alive,Good,None,None,No,No,No,BX62,40.8985447,-73.84386295
177518,pine,4,0,Alive,Good,None,None,No,No,No,BX52,40.84058322,-73.83173269
178898,pine,28,0,Alive,Good,None,None,No,No,No,QN45,40.77131685,-73.74083932
179540,pine,2,0,Alive,Good,None,None,No,No,No,QN54,40.69590553,-73.81770036
179860,pitch pine,4,0,Alive,Good,None,None,No,No,No,SI36,40.60012242,-74.08506313
180998,white pine,18,0,Alive,Good,None,None,No,No,No,QN54,40.70182062,-73.83667173
183041,pine,10,0,Alive,Fair,None,None,No,No,No,QN51,40.76934807,-73.82163084
185584,pine,7,0,Alive,Good,None,None,No,No,No,QN55,40.66699671,-73.80597796
187505,pine,5,0,Alive,Good,None,None,No,No,No,SI24,40.5905195,-74.15614937
188488,white pine,1,0,Alive,Good,None,None,No,No,No,BX31,40.86195533,-73.84641976
188948,pitch pine,16,0,Alive,Good,None,None,No,No,No,BX44,40.87343943,-73.86564051
188987,red pine,7,0,Alive,Good,None,None,No,No,No,QN03,40.66730155,-73.78243332
189211,pine,1,0,Alive,Poor,None,None,No,No,No,BK95,40.6439013,-73.95567024
193686,black pine,13,0,Alive,Poor,None,None,No,No,No,QN46,40.76128851,-73.78400518
194431,white pine,20,0,Alive,Fair,StonesBranchLights,StonesBranchLights,Yes,No,No,BX22,40.90249068,-73.89749732
194687,pine,16,0,Alive,Good,None,None,No,No,No,QN48,40.76213336,-73.78577299
195288,red pine,10,0,Alive,Good,RootOther,RootOther,No,No,Yes,BK58,40.62768044,-73.94025563
195888,pitch pine,11,0,Alive,Good,None,None,No,No,No,SI25,40.55663237,-74.11866542
196979,pitch pine,6,0,Alive,Good,None,None,No,No,No,SI54,40.5411026,-74.15522012
198901,pine,1,0,Alive,Fair,None,None,No,No,No,BK37,40.67140906,-73.99255482
202185,white pine,11,0,Alive,Good,None,None,No,No,No,BK42,40.64671747,-73.96523743
202632,pine,1,0,Alive,Good,None,None,No,No,No,QN21,40.7198904,-73.88715844
202932,pine,33,0,Alive,Good,StonesWiresRope,StonesWiresRope,Yes,No,No,QN45,40.76572408,-73.73634162
203752,pitch pine,30,0,Alive,Good,Stones,Stones,Yes,No,No,QN08,40.68154065,-73.76797096
204902,white pine,18,0,Alive,Fair,None,None,No,No,No,QN17,40.7354905,-73.85600559
206091,red pine,3,0,Alive,Good,None,None,No,No,No,BK82,40.66240025,-73.8772356
207088,pine,6,0,Alive,Fair,None,None,No,No,No,SI01,40.54155831,-74.18144564
208014,white pine,9,0,Alive,Good,None,None,No,No,No,BX03,40.88215054,-73.84105248
209788,white pine,11,0,Alive,Fair,None,None,No,No,No,QN34,40.71199523,-73.74801903
209969,white pine,4,0,Alive,Fair,None,None,No,No,No,QN35,40.71369179,-73.80296485
210076,red pine,2,0,Alive,Fair,None,None,No,No,No,BK58,40.62879599,-73.94134155
210352,pine,11,0,Alive,Good,None,None,No,No,No,BK19,40.57474824,-73.95338182
212107,Virginia pine,6,0,Alive,Good,None,None,No,No,No,QN01,40.69295375,-73.79468439
212815,white pine,17,0,Alive,Good,None,None,No,No,No,QN61,40.71198605,-73.77255552
212995,Scots pine,11,0,Alive,Good,WiresRopeBranchLights,WiresRopeBranchLights,No,No,No,SI22,40.64021741,-74.0800992
213539,pine,6,0,Alive,Good,None,None,No,No,No,QN15,40.59510826,-73.75107308
213818,pine,19,0,Alive,Good,None,None,No,No,No,QN06,40.7135709,-73.78254806
215171,pine,2,0,Alive,Good,None,None,No,No,No,BX52,40.82059679,-73.81794507
215186,black pine,11,0,Alive,Poor,None,None,No,No,No,SI48,40.54898076,-74.19326781
215257,red pine,9,0,Alive,Good,RootOtherWiresRope,RootOtherWiresRope,No,No,Yes,BK58,40.6294127,-73.94140631
216093,pine,2,0,Alive,Good,None,None,No,No,No,QN76,40.67327903,-73.80026853
217154,pine,8,0,Alive,Good,None,None,No,No,No,QN55,40.66417899,-73.81696353
217281,pine,9,0,Alive,Fair,None,None,No,No,No,QN08,40.6854707,-73.76216759
